ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002460	Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains	37/241	486/28943	1.27E-24	2.70E-22	1.89E-22	Relb/Il7r/Ly9/Pou2f2/Slamf6/Slamf1/H2-M2/Cd40/Tnfaip3/Irf4/Nckap1l/Cd4/C3/Tnf/Cd74/Nfkb2/Cd28/Inpp5d/Ptprc/Cr2/Il21r/Sash3/Btk/H2-Aa/Prf1/Icam1/Ccr7/Gimap3/Foxp3/Aicda/Ccr6/H2-Ob/Zc3h12a/Klhl6/H2-Eb1/Csf2rb2/Il4i1	37
GO:0002683	Negative Regulation Of Immune System Process	36/241	465/28943	3.21E-24	6.35E-22	4.45E-22	Il7r/Sh2d1a/Tnfrsf13b/Blk/Slamf1/Tnfaip3/Nckap1l/Gcsam/Tnf/Cd74/Lpxn/Ctla4/Pdcd1/Inpp5d/Ptprc/Cr2/Laptm5/Siglecg/Cd37/Btk/H2-Aa/Bank1/Gimap3/Foxp3/Zc3h12d/Pla2g2d/H2-Ob/Iapp/Zc3h12a/Mmp12/Nlrc3/Gpr18/Btla/Slamf8/Cnr2/Il4i1	36
GO:0050900	Leukocyte Migration	31/241	385/28943	1.86E-21	2.91E-19	2.04E-19	Itgb7/Il16/Slamf1/Nckap1l/Gcsam/Cxcl13/Tnf/Cd74/Ccl20/Sell/Itga4/Il1a/Rhoh/Ppbp/Cxcl3/Cxcl1/Cxcl9/Ptn/Coro1a/Rac2/Vav1/Cxcl10/Ccl7/Icam1/Ccr7/Ccr6/Cxcr5/Gpr18/Gpr183/Slamf8/Cnr2	31
GO:0050870	Positive Regulation Of T Cell Activation	25/241	246/28943	6.27E-20	9.30E-18	6.52E-18	Lck/Efnb2/Il7r/Slamf1/Nckap1l/Cd4/Cd74/Cd6/Icos/Cd28/Ptprc/Il1a/Rhoh/Coro1a/Sash3/Cd3e/Tespa1/H2-Aa/Ccr7/Gimap3/Foxp3/H2-Ob/Rasal3/H2-Eb1/Il4i1	25
GO:0002449	Lymphocyte Mediated Immunity	32/241	483/28943	1.42E-19	1.91E-17	1.34E-17	Il7r/Sh2d1a/Pou2f2/Slamf6/Slamf1/H2-M2/Cd40/Nckap1l/C3/Tnf/Cd74/Cd28/Inpp5d/Ptprc/Cr2/Coro1a/Il21r/Sash3/Btk/Vav1/H2-Aa/Prf1/Icam1/Gimap3/Foxp3/Aicda/Ccr6/H2-Ob/H2-Eb1/Klri1/Csf2rb2/Il4i1	32
GO:0060326	Cell Chemotaxis	27/241	314/28943	1.53E-19	1.92E-17	1.35E-17	Il16/Slamf1/Nckap1l/Cxcl13/Cd74/Ccl20/Sell/Ppbp/Cxcl3/Cxcl1/Cxcl9/Ptn/Coro1a/Rac2/Vav1/Cxcl10/Ccl7/Ccr7/Ccr6/Cxcr4/Cxcr5/Ccr4/Gpr18/Gpr183/Slamf8/Cnr2/Bin2	27
GO:0030595	Leukocyte Chemotaxis	24/241	228/28943	1.56E-19	1.92E-17	1.35E-17	Il16/Slamf1/Nckap1l/Cxcl13/Cd74/Ccl20/Sell/Ppbp/Cxcl3/Cxcl1/Cxcl9/Ptn/Coro1a/Rac2/Vav1/Cxcl10/Ccl7/Ccr7/Ccr6/Cxcr5/Gpr18/Gpr183/Slamf8/Cnr2	24
GO:0002366	Leukocyte Activation Involved In Immune Response	26/241	328/28943	5.61E-18	5.95E-16	4.17E-16	Relb/Ly9/Blk/Slamf6/Slamf1/Cd40/Tnfaip3/Irf4/Cd180/Nckap1l/Cd74/Cd28/Ptprc/Coro1a/Lat/Dock11/Pou2af1/Rac2/Icam1/Ccr7/Foxp3/Aicda/Ccr6/Irf8/Zc3h12a/Gpr183	26
GO:0002831	Regulation Of Response To Biotic Stimulus	27/241	371/28943	1.10E-17	1.05E-15	7.39E-16	Sh2d1a/Cyba/Slamf6/Tnfaip3/Cd180/C3/Sting1/Cd74/Tasl/Ly96/Cxcl1/Cd37/Trim30a/Vav1/Aim2/Nlrc4/Gimap3/Foxp3/Zc3h12a/Ifi209/Tlr9/Mmp12/Nlrc3/Slamf8/Scimp/Klri1/Il4i1	27
GO:0002253	Activation Of Immune Response	29/241	448/28943	1.50E-17	1.39E-15	9.72E-16	Lck/Sh2d1a/Blk/Nckap1l/Gcsam/C3/Sting1/Ms4a1/Lpxn/Ctla4/Cd28/Ptprc/Cr2/Laptm5/Trim30a/Btk/Cd3e/Tespa1/Aim2/Ccr7/Nlrc4/Foxp3/Cd79b/Zc3h12a/Klhl6/Ifi209/Tlr9/Klri1/Bcl2a1d	29
GO:0051251	Positive Regulation Of Lymphocyte Activation	29/241	465/28943	4.03E-17	3.42E-15	2.40E-15	Lck/Efnb2/Il7r/Slamf1/Cd40/Nckap1l/Cd4/Cd74/Cd6/Icos/Cd28/Inpp5d/Ptprc/Il1a/Rhoh/Coro1a/Sash3/Cd3e/Tespa1/H2-Aa/Ccr7/Gimap3/Foxp3/H2-Ob/Tlr9/Gpr183/Rasal3/H2-Eb1/Il4i1	29
GO:1903706	Regulation Of Hemopoiesis	28/241	435/28943	6.46E-17	5.32E-15	3.73E-15	Lck/Il7r/Ikzf3/Ikzf1/Nckap1l/Cd4/Tnf/Cd74/Ctla4/Cd28/Inpp5d/Ptprc/Rhoh/Ptn/Sash3/Ets1/Tespa1/H2-Aa/Ccr7/Csf3/Gimap3/Foxp3/Iapp/Zc3h12a/Tlr9/Gpr171/Slamf8/Il4i1	28
GO:0046631	Alpha-Beta T Cell Activation	20/241	191/28943	2.01E-16	1.61E-14	1.13E-14	Relb/Ly9/Slamf6/Irf4/Nckap1l/Cd28/Ptprc/Tnfsf8/Sash3/Cd3e/Ccr7/Gimap3/Foxp3/Pla2g2d/Zc3h12a/Gpr18/Gpr183/Wdfy4/Btla/Rasal3	20
GO:0019221	Cytokine-Mediated Signaling Pathway	27/241	421/28943	2.62E-16	2.05E-14	1.43E-14	Il16/Il7r/Cxcl13/Cd4/Sting1/Tnf/Cd74/Ccl20/Ptprc/Il1a/Laptm5/Ppbp/Cxcl3/Cxcl1/Cxcl9/Il21r/Cxcl10/Ccl7/Aim2/Il22ra2/Cxcr4/Mmp12/Grem2/Stat4/Il2rb/Duox2/Csf2rb2	27
GO:0051250	Negative Regulation Of Lymphocyte Activation	19/241	171/28943	3.82E-16	2.84E-14	1.99E-14	Tnfrsf13b/Blk/Tnfaip3/Nckap1l/Cd74/Ctla4/Inpp5d/Laptm5/Cd37/Btk/H2-Aa/Bank1/Gimap3/Foxp3/Zc3h12d/Pla2g2d/Zc3h12a/Btla/Il4i1	19
GO:0002260	Lymphocyte Homeostasis	15/241	89/28943	9.14E-16	6.45E-14	4.53E-14	Il7r/Tnfrsf13b/Tnfaip3/Nckap1l/Pmaip1/Cd74/Skil/Coro1a/Lat/Dock11/Sash3/Gimap3/Foxp3/Pik3cd/Gpr174	15
GO:0031349	Positive Regulation Of Defense Response	23/241	305/28943	1.48E-15	9.76E-14	6.84E-14	Il16/Sh2d1a/Cyba/Slamf6/C3/Sting1/Tnf/Cd74/Tasl/Cd28/Cxcl1/Trim30a/Ets1/Vav1/Aim2/Ccr7/Ctss/Nlrc4/Gimap3/Ifi209/Tlr9/Mmp12/Klri1	23
GO:0032675	Regulation Of Interleukin-6 Production	18/241	167/28943	4.01E-15	2.33E-13	1.64E-13	Il16/Cyba/Pou2f2/Slamf1/Tnfaip3/Nckap1l/Tnf/Cd74/Inpp5d/Laptm5/Trim30a/Pou2af1/Bank1/Foxp3/Zc3h12a/Tlr9/Nlrc3/Scimp	18
GO:0032635	Interleukin-6 Production	18/241	176/28943	1.02E-14	5.48E-13	3.84E-13	Il16/Cyba/Pou2f2/Slamf1/Tnfaip3/Nckap1l/Tnf/Cd74/Inpp5d/Laptm5/Trim30a/Pou2af1/Bank1/Foxp3/Zc3h12a/Tlr9/Nlrc3/Scimp	18
GO:0002685	Regulation Of Leukocyte Migration	20/241	234/28943	1.04E-14	5.49E-13	3.85E-13	Slamf1/Nckap1l/Gcsam/Cxcl13/Cd74/Ccl20/Sell/Itga4/Il1a/Rhoh/Ptn/Coro1a/Rac2/Cxcl10/Ccl7/Icam1/Ccr7/Ccr6/Gpr18/Slamf8	20
GO:0050920	Regulation Of Chemotaxis	18/241	231/28943	1.13E-12	4.85E-11	3.40E-11	Efnb2/Il16/Slamf1/Nckap1l/Cxcl13/Cd74/Sell/Ptn/Rac2/Cxcl10/Ccl7/Ccr7/Ccr6/Cxcr4/Ccr4/Gpr18/Gpr183/Slamf8	18
GO:0002440	Production Of Molecular Mediator Of Immune Response	23/241	422/28943	1.40E-12	5.86E-11	4.11E-11	Il7r/Pou2f2/Slamf1/Cd40/Tnfaip3/Tnf/Cd74/Cd28/Ptprc/Laptm5/Siglecg/Cd37/Sash3/Btk/H2-Aa/Gimap3/Foxp3/Aicda/Ccr6/H2-Ob/Tlr9/Scimp/H2-Eb1	23
GO:0001906	Cell Killing	19/241	273/28943	1.95E-12	7.82E-11	5.48E-11	Il7r/Sh2d1a/Slamf6/H2-M2/Nckap1l/Cxcl13/C3/Ccl20/Ptprc/Ppbp/Cxcl1/Cxcl9/Coro1a/Vav1/Cxcl10/Prf1/Gimap3/Klri1/Lyz1	19
GO:0045088	Regulation Of Innate Immune Response	18/241	240/28943	2.16E-12	8.42E-11	5.91E-11	Sh2d1a/Slamf6/Tnfaip3/C3/Sting1/Cd74/Tasl/Trim30a/Vav1/Aim2/Nlrc4/Gimap3/Ifi209/Tlr9/Mmp12/Nlrc3/Slamf8/Klri1	18
GO:0016064	Immunoglobulin Mediated Immune Response	19/241	286/28943	4.42E-12	1.54E-10	1.08E-10	Pou2f2/Cd40/C3/Tnf/Cd74/Cd28/Inpp5d/Ptprc/Cr2/Il21r/Btk/H2-Aa/Gimap3/Foxp3/Aicda/Ccr6/H2-Ob/H2-Eb1/Csf2rb2	19
GO:0002237	Response To Molecule Of Bacterial Origin	22/241	407/28943	5.18E-12	1.79E-10	1.25E-10	Tnfaip3/Cd180/Cxcl13/Tnf/Cd6/Ly96/Cr2/Il1a/Ppbp/Cxcl3/Cxcl1/Cxcl9/Trim30a/Cxcl10/Ccr7/Aicda/Irf8/Zc3h12a/Tlr9/Nlrc3/Scimp/Cnr2	22
GO:0009615	Response To Virus	20/241	347/28943	1.58E-11	5.04E-10	3.53E-10	Pou2f2/Cd40/Sting1/Tnf/Pmaip1/Ptprc/Cxcl9/Cd37/Trim30a/Pou2af1/Cxcl10/Prf1/Aim2/Foxp3/Aicda/Zc3h12a/Tlr9/Mmp12/Wdfy4/Duox2	20
GO:0071216	Cellular Response To Biotic Stimulus	19/241	340/28943	8.78E-11	2.48E-09	1.74E-09	Bid/Tnfaip3/Cd180/Cxcl13/Tnf/Cd6/Ly96/Cr2/Il1a/Ppbp/Cxcl3/Cxcl1/Cxcl9/Trim30a/Cxcl10/Aicda/Irf8/Zc3h12a/Scimp	19
GO:0002507	Tolerance Induction	8/241	30/28943	1.03E-10	2.77E-09	1.94E-09	Blk/Tnfaip3/Icos/Pdcd1/Cd3e/Ccr7/Foxp3/Ccr4	8
GO:0002700	Regulation Of Production Of Molecular Mediator Of Immune Response	15/241	207/28943	2.51E-10	6.26E-09	4.39E-09	Slamf1/Cd40/Tnfaip3/Tnf/Cd74/Cd28/Ptprc/Laptm5/Siglecg/Cd37/Sash3/Gimap3/Foxp3/Tlr9/Scimp	15
GO:1990868	Response To Chemokine	10/241	73/28943	5.22E-10	1.25E-08	8.75E-09	Cxcl13/Ccl20/Ppbp/Cxcl3/Cxcl1/Cxcl9/Cxcl10/Ccl7/Zc3h12a/Cxcr4	10
GO:0007249	I-Kappab Kinase/Nf-Kappab Signaling	15/241	230/28943	1.09E-09	2.50E-08	1.75E-08	Relb/Cd40/Tnfaip3/Cd4/Tnf/Cd74/Il1a/Rhoh/Trim30a/Btk/S100b/Tnfsf10/Zc3h12a/Tlr9/Nlrc3	15
GO:0070372	Regulation Of Erk1 And Erk2 Cascade	17/241	326/28943	2.52E-09	5.59E-08	3.92E-08	Slamf1/Psca/Cd4/C3/Cd74/Ccl20/Ptprc/Il1a/Glipr2/Ccl7/Spred3/Icam1/Iapp/Tlr9/Cxcr4/Gpr183/Scimp	17
GO:0031341	Regulation Of Cell Killing	12/241	146/28943	3.89E-09	8.29E-08	5.82E-08	Il7r/Sh2d1a/Slamf6/H2-M2/Nckap1l/C3/Ptprc/Cxcl1/Vav1/Prf1/Gimap3/Klri1	12
GO:0048535	Lymph Node Development	7/241	31/28943	5.64E-09	1.17E-07	8.21E-08	Il7r/Ikzf1/Cxcl13/Ltb/Nfkb2/Ccr7/Cxcr5	7
GO:0019882	Antigen Processing And Presentation	11/241	128/28943	1.10E-08	2.19E-07	1.53E-07	Relb/H2-M2/Cd74/Marchf1/H2-Aa/Icam1/Ccr7/Ctss/H2-Ob/Wdfy4/H2-Eb1	11
GO:0007204	Positive Regulation Of Cytosolic Calcium Ion Concentration	14/241	234/28943	1.19E-08	2.32E-07	1.63E-07	Cd52/Cxcl13/Cd4/Cxcl3/Cxcl1/Ccr7/Gimap3/Ccr6/Cxcr4/Cxcr5/Ccr4/Gpr18/P2ry10/Gpr174	14
GO:0001909	Leukocyte Mediated Cytotoxicity	12/241	169/28943	2.03E-08	3.81E-07	2.67E-07	Il7r/Sh2d1a/Slamf6/H2-M2/Nckap1l/Ptprc/Cxcl1/Coro1a/Vav1/Prf1/Gimap3/Klri1	12
GO:0051607	Defense Response To Virus	15/241	289/28943	2.38E-08	4.45E-07	3.12E-07	Cd40/Sting1/Pmaip1/Ptprc/Cxcl9/Cd37/Trim30a/Cxcl10/Prf1/Aim2/Foxp3/Aicda/Zc3h12a/Tlr9/Mmp12	15
GO:0002710	Negative Regulation Of T Cell Mediated Immunity	6/241	24/28943	3.72E-08	6.72E-07	4.72E-07	Il7r/Slamf1/Nckap1l/Ptprc/Foxp3/Il4i1	6
GO:0002274	Myeloid Leukocyte Activation	14/241	272/28943	7.82E-08	1.34E-06	9.41E-07	Il16/Relb/Blk/Slamf1/Cd48/Irf4/Clu/Tnf/Rhoh/Lat/Cd37/Rac2/Gimap3/Cnr2	14
GO:0001910	Regulation Of Leukocyte Mediated Cytotoxicity	10/241	125/28943	1.02E-07	1.73E-06	1.21E-06	Il7r/Sh2d1a/Slamf6/H2-M2/Nckap1l/Ptprc/Cxcl1/Vav1/Gimap3/Klri1	10
GO:0097191	Extrinsic Apoptotic Signaling Pathway	13/241	238/28943	1.16E-07	1.92E-06	1.35E-06	Bid/Tnfaip3/Tnf/Pmaip1/Ptprc/Mal/Il1a/Skil/Clca3a2/Icam1/Tnfsf10/Fcmr/Bcl2a1d	13
GO:0006959	Humoral Immune Response	17/241	425/28943	1.22E-07	2.00E-06	1.41E-06	Sh2d1a/Cxcl13/C3/Tnf/Ccl20/Ptprc/Cr2/Ppbp/Cxcl3/Cxcl1/Cxcl9/Cd37/Cxcl10/Ccr7/Gimap3/Gpr183/Jchain	17
GO:0002573	Myeloid Leukocyte Differentiation	13/241	246/28943	1.70E-07	2.71E-06	1.90E-06	Relb/Spib/Ikzf1/Irf4/Cd4/Tnf/Cd74/Inpp5d/Ccr7/Csf3/Gimap3/Iapp/Gpr183	13
GO:0033627	Cell Adhesion Mediated By Integrin	8/241	90/28943	8.86E-07	1.25E-05	8.78E-06	Itgb7/Itgae/Nckap1l/Cxcl13/Lpxn/Itga4/Cd3e/Icam1	8
GO:0031640	Killing Of Cells Of Other Organism	8/241	94/28943	1.24E-06	1.69E-05	1.19E-05	Cxcl13/C3/Ccl20/Ppbp/Cxcl9/Cxcl10/Prf1/Lyz1	8
GO:0097028	Dendritic Cell Differentiation	6/241	44/28943	1.70E-06	2.28E-05	1.60E-05	Relb/Blk/Irf4/Ccr7/Gimap3/Irf8	6
GO:0045765	Regulation Of Angiogenesis	13/241	308/28943	2.14E-06	2.83E-05	1.98E-05	Cd40/C3/Tnf/Il1a/Naxe/Ptn/Ets1/Cxcl10/Btg1/Ppp1r16b/Pik3cd/Zc3h12a/Cxcr4	13
GO:0045730	Respiratory Burst	5/241	26/28943	2.19E-06	2.83E-05	1.98E-05	Cyba/Cybb/Rac2/Slamf8/Jchain	5
GO:0001667	Ameboidal-Type Cell Migration	16/241	471/28943	2.46E-06	3.14E-05	2.20E-05	Itgb7/Efnb2/Cd40/Cxcl13/Sox8/Tnf/Lpxn/Itga4/Glipr2/Coro1a/Ets1/Pik3cd/Ccr6/Zc3h12a/Cxcr4/Mmp12	16
GO:0031589	Cell-Substrate Adhesion	14/241	371/28943	3.20E-06	4.04E-05	2.83E-05	Itgb7/Bcan/Itgae/Parvg/Lpxn/Itga4/Ptn/Coro1a/Plekha2/Cd3e/Rac2/Mmp12/Frem1/Muc21	14
GO:0002437	Inflammatory Response To Antigenic Stimulus	7/241	77/28943	3.73E-06	4.66E-05	3.27E-05	C3/Tnf/Cd6/Cd28/Icam1/Ccr7/Pla2g2d	7
GO:0002367	Cytokine Production Involved In Immune Response	9/241	148/28943	4.45E-06	5.36E-05	3.76E-05	Slamf1/Tnf/Cd74/Laptm5/Sash3/Gimap3/Foxp3/Tlr9/Scimp	9
GO:0002526	Acute Inflammatory Response	8/241	112/28943	4.64E-06	5.58E-05	3.91E-05	C3/Tnf/Cd6/Il1a/Cxcl1/Icam1/Ccr7/Pla2g2d	8
GO:0006909	Phagocytosis	14/241	390/28943	5.67E-06	6.62E-05	4.64E-05	Cyba/Slamf1/Nckap1l/C3/Tnf/Ptprc/Rhoh/Coro1a/Rac2/Vav1/Ccr7/Irf8/Il2rb/Bin2	14
GO:2000106	Regulation Of Leukocyte Apoptotic Process	8/241	119/28943	7.29E-06	8.13E-05	5.70E-05	Il7r/Blk/Cd74/Pdcd1/Ccr7/Pik3cd/Fcmr/Hsh2d	8
GO:0072593	Reactive Oxygen Species Metabolic Process	11/241	245/28943	7.33E-06	8.14E-05	5.71E-05	Cyba/Cybb/Tnf/Pmaip1/Duoxa2/Cxcl1/Trim30a/Birc3/Vav1/Zc3h12a/Duox2	11
GO:0034113	Heterotypic Cell-Cell Adhesion	6/241	57/28943	7.97E-06	8.66E-05	6.08E-05	Lck/Itgb7/Tnfaip3/Tnf/Ptprc/Itga4	6
GO:0008360	Regulation Of Cell Shape	9/241	159/28943	7.97E-06	8.66E-05	6.08E-05	Rhoh/Ptn/Coro1a/S100b/Rac2/Ccl7/Icam1/Arhgap15/Fmnl1	9
GO:0045190	Isotype Switching	6/241	59/28943	9.76E-06	0.000103724	7.27E-05	Cd40/Cd28/Ptprc/Foxp3/Aicda/Ccr6	6
GO:0048302	Regulation Of Isotype Switching To Igg Isotypes	4/241	17/28943	1.02E-05	0.000108556	7.61E-05	Cd40/Cd28/Ptprc/Foxp3	4
GO:0050766	Positive Regulation Of Phagocytosis	7/241	91/28943	1.14E-05	0.000119937	8.41E-05	Cyba/Nckap1l/C3/Tnf/Ptprc/Ccr7/Il2rb	7
GO:0018108	Peptidyl-Tyrosine Phosphorylation	12/241	320/28943	1.73E-05	0.000178235	0.000124993	Lck/Blk/Cd40/Cd4/Cd74/Ptprc/Btk/Cd3e/Icam1/Bank1/Csf3/Il22ra2	12
GO:0051090	Regulation Of Dna-Binding Transcription Factor Activity	14/241	436/28943	1.98E-05	0.000200947	0.00014092	Cd40/Tnfaip3/Clu/Sting1/Tnf/Trim30a/Icam1/Aim2/Csf3/Nlrc4/Foxp3/Zc3h12a/Tlr9/Nlrc3	14
GO:0034341	Response To Interferon-Gamma	8/241	139/28943	2.27E-05	0.000222794	0.000156241	Cd40/Cd74/Ccl20/Kynu/Ccl7/H2-Aa/Irf8/H2-Eb1	8
GO:0090132	Epithelium Migration	12/241	330/28943	2.34E-05	0.00022932	0.000160818	Efnb2/Cd40/Cxcl13/Tnf/Lpxn/Glipr2/Coro1a/Ets1/Pik3cd/Ccr6/Zc3h12a/Cxcr4	12
GO:0097553	Calcium Ion Transmembrane Import Into Cytosol	9/241	185/28943	2.67E-05	0.000257299	0.000180439	Lck/Cyba/Cd4/Ptprc/Cxcl9/Coro1a/Cxcl10/Gimap3/Iapp	9
GO:0006816	Calcium Ion Transport	14/241	449/28943	2.73E-05	0.000261953	0.000183703	Lck/Il16/Cyba/Cd4/Ms4a1/Ptprc/Cxcl9/Coro1a/Cxcl10/Icam1/Gimap3/Iapp/Tlr9/Cxcr4	14
GO:0071887	Leukocyte Apoptotic Process	8/241	148/28943	3.56E-05	0.000334111	0.000234306	Il7r/Blk/Cd74/Pdcd1/Ccr7/Pik3cd/Fcmr/Hsh2d	8
GO:2001056	Positive Regulation Of Cysteine-Type Endopeptidase Activity	8/241	149/28943	3.73E-05	0.000346182	0.000242771	Lck/Bid/Tnf/Pmaip1/Laptm5/Aim2/Nlrc4/Tnfsf10	8
GO:2000116	Regulation Of Cysteine-Type Endopeptidase Activity	10/241	243/28943	4.02E-05	0.000368881	0.000258689	Lck/Bid/Tnf/Pmaip1/Laptm5/Aim2/Nlrc4/Tnfsf10/Fcmr/Bcl2a1d	10
GO:0051924	Regulation Of Calcium Ion Transport	11/241	296/28943	4.22E-05	0.000385881	0.000270611	Il16/Cyba/Cd4/Cxcl9/Coro1a/Cxcl10/Icam1/Gimap3/Iapp/Tlr9/Cxcr4	11
GO:0042267	Natural Killer Cell Mediated Cytotoxicity	6/241	82/28943	6.47E-05	0.00056734	0.000397865	Sh2d1a/Slamf6/Coro1a/Vav1/Gimap3/Klri1	6
GO:2000351	Regulation Of Endothelial Cell Apoptotic Process	5/241	54/28943	8.71E-05	0.000735796	0.000516	Cd40/Tnfaip3/Tnf/Itga4/Icam1	5
GO:0002399	Mhc Class Ii Protein Complex Assembly	3/241	11/28943	8.95E-05	0.000750284	0.00052616	H2-Aa/H2-Ob/H2-Eb1	3
GO:0002503	Peptide Antigen Assembly With Mhc Class Ii Protein Complex	3/241	11/28943	8.95E-05	0.000750284	0.00052616	H2-Aa/H2-Ob/H2-Eb1	3
GO:0072577	Endothelial Cell Apoptotic Process	5/241	57/28943	0.000112971	0.000923066	0.000647329	Cd40/Tnfaip3/Tnf/Itga4/Icam1	5
